Title,IMDb Rating,Your Rating,Year,Metascore,RT Audience,RT Critics
The Hurt Locker,7.5,6,2008,95,84,97
The Breakfast Club,7.8,3,1985,66,92,89
Knives Out,7.9,8,2019,82,92,97
The Hobbit: An Unexpected Journey,7.8,7,2012,58,83,64
Pineapple Express,6.9,8,2008,64,73,68
WALL·E,8.4,6,2008,95,42,35
The Legend of Tarzan,6.2,5,2016,44,58,36
Stand by Me,8.1,10,1986,75,94,91
El Camino: A Breaking Bad Movie,7.3,8,2019,72,81,91
Angel Heart,7.3,6,1987,61,81,79
Harry Potter and the Deathly Hallows: Part 1,7.7,8,2010,65,85,77
Full Metal Jacket,8.3,9,1987,76,94,92
Taken,7.8,7,2008,51,85,59
Source Code,7.5,8,2011,74,82,92
Big,7.3,7,1988,73,,
Black Swan,8,8,2010,79,84,85
The Amazing Spider-Man,6.9,7,2012,66,77,72
You Don't Mess with the Zohan,5.5,6,2008,54,45,37
On the Rocks,6.5,8,2020,73,51,87
Promising Young Woman,7.5,9,2020,72,87,90
Flinch,5.5,6,2021,,92,50
Justice League,6.2,4,2017,45,71,40
Nomadland,7.6,6,2020,93,82,94
Valkyrie,7.1,8,2008,56,65,62
When Harry Met Sally...,7.6,8,1989,76,89,91
Sherlock Holmes,7.6,8,2009,57,77,69
Awakenings,7.8,9,1990,74,89,88
The Wolf of Wall Street,8.2,9,2013,75,83,79
Edward Scissorhands,7.9,8,1990,74,91,90
Home Alone,7.6,8,1990,63,80,67
